mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,mfcc_delta_mean_1,mfcc_delta_std_1,mfcc_delta_mean_2,mfcc_delta_std_2,mfcc_delta_mean_3,mfcc_delta_std_3,mfcc_delta_mean_4,mfcc_delta_std_4,mfcc_delta_mean_5,mfcc_delta_std_5,mfcc_delta_mean_6,mfcc_delta_std_6,mfcc_delta_mean_7,mfcc_delta_std_7,mfcc_delta_mean_8,mfcc_delta_std_8,mfcc_delta_mean_9,mfcc_delta_std_9,mfcc_delta_mean_10,mfcc_delta_std_10,mfcc_delta_mean_11,mfcc_delta_std_11,mfcc_delta_mean_12,mfcc_delta_std_12,mfcc_delta_mean_13,mfcc_delta_std_13,mfcc_delta2_mean_1,mfcc_delta2_std_1,mfcc_delta2_mean_2,mfcc_delta2_std_2,mfcc_delta2_mean_3,mfcc_delta2_std_3,mfcc_delta2_mean_4,mfcc_delta2_std_4,mfcc_delta2_mean_5,mfcc_delta2_std_5,mfcc_delta2_mean_6,mfcc_delta2_std_6,mfcc_delta2_mean_7,mfcc_delta2_std_7,mfcc_delta2_mean_8,mfcc_delta2_std_8,mfcc_delta2_mean_9,mfcc_delta2_std_9,mfcc_delta2_mean_10,mfcc_delta2_std_10,mfcc_delta2_mean_11,mfcc_delta2_std_11,mfcc_delta2_mean_12,mfcc_delta2_std_12,mfcc_delta2_mean_13,mfcc_delta2_std_13,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,chroma_mean_12,chroma_std_12,spec_contrast_mean_1,spec_contrast_std_1,spec_contrast_mean_2,spec_contrast_std_2,spec_contrast_mean_3,spec_contrast_std_3,spec_contrast_mean_4,spec_contrast_std_4,spec_contrast_mean_5,spec_contrast_std_5,spec_contrast_mean_6,spec_contrast_std_6,spec_contrast_mean_7,spec_contrast_std_7,rms_mean,rms_std,zcr_mean,zcr_std,f0_mean,f0_std,f0_median,f0_iqr,category,file_name,augment_type
-324.8629,104.534615,125.85753,46.36653,-106.81038,53.6659,-18.296448,14.337669,23.17172,15.590899,-38.18404,17.642702,-8.017628,15.236089,13.987046,12.637966,-3.4290144,10.039955,8.984136,12.125559,-0.44326064,6.5926046,-11.342545,9.787347,4.5020022,10.2587805,0.51015294,13.082102,0.2656974,6.1412973,-0.19263296,6.509592,-0.0031887584,2.270221,0.08609517,2.4628038,-0.05117429,2.5992951,-0.010702626,2.035604,0.01951554,1.495937,-0.037031814,1.5502346,-0.008270857,1.428051,0.027204182,1.0615121,0.02508455,1.4588759,0.012721475,1.6357161,0.05028378,5.3784165,0.01442817,2.7992835,-0.05052887,2.7467904,-0.04416609,1.5563596,-0.027544381,1.0934598,-0.009986887,1.1942637,0.0071044266,1.0865221,0.0008495833,0.85116166,0.0076848236,0.832767,0.020554578,0.70683384,0.0014996339,0.6116894,-0.013758441,0.7414583,-0.012522575,0.83583695,0.4663566,0.31945252,0.55416954,0.36826253,0.39746878,0.29076248,0.31717598,0.297345,0.292875,0.2751086,0.29450023,0.2550795,0.3530854,0.3105972,0.3865792,0.3254063,0.39982325,0.33137268,0.42768192,0.30936563,0.43828258,0.2970954,0.41539264,0.30195433,13.345680909269925,4.725269735184915,12.260877876490653,3.85119748785806,18.87746860889508,5.865925979594126,17.392665153955654,5.162651918278263,19.378213716054173,4.244399887714301,40.719254247655826,7.59431230660554,13.400811422522578,1.1176691624258839,0.06958239,0.08809964,0.1425716576986755,0.03278128267109568,932.8433953838241,509.64307511653686,774.9859687646107,669.8964284560614,hungry,D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav,orig
-356.29474,71.77301,106.535194,37.98847,-26.265354,31.771374,-9.121744,10.098716,3.3480566,8.9542265,-23.254576,16.018972,-19.154999,9.947072,-21.871962,7.870388,-22.341799,7.296755,-1.0214816,9.306452,-7.5895185,5.5161924,-18.263206,8.550689,-1.3961133,10.098798,-0.05149053,6.75123,0.002809133,3.9542243,0.05310694,3.098526,-0.0144967465,1.624213,-0.031923555,1.4723299,-0.00789017,1.5934246,-0.010768575,1.2453378,0.013350664,1.0727966,0.026520412,0.80119735,-0.0040111984,1.1571808,-0.011731798,0.9152952,-0.0082176225,1.0281537,-0.01480221,1.122375,-0.10473085,2.6875768,-0.017761515,1.5382507,0.08669697,1.6725888,-0.0035619792,0.94203424,-0.030565381,0.8424195,0.00906432,0.76340175,9.158747e-05,0.6436978,0.012565224,0.6524898,0.017832063,0.5578259,-0.0067483573,0.58278054,0.013734423,0.6065701,0.021550741,0.5439284,-0.007856776,0.5884085,0.21602121,0.30194008,0.26069883,0.37466058,0.1877397,0.29116452,0.1277148,0.20100419,0.124011464,0.19473027,0.21181451,0.2937406,0.37385568,0.32982484,0.5238026,0.39162803,0.3739116,0.33896607,0.26088756,0.33381814,0.17339356,0.28420308,0.14312093,0.233654,15.891737734800154,5.496569706661102,20.045974589451273,8.881302989636325,25.437475227636238,8.577941777128785,22.0145426334097,6.4290357957081925,21.672657675706027,5.005549245803173,37.40718207755261,5.899503634359902,13.436898048419541,0.9111715136825629,0.07473181,0.06952883,0.05715477545529801,0.03009169214833185,364.3500437883096,93.45029221048569,397.69879952856695,48.00496815479704,hungry,F24DE44B-762C-4149-AC92-96A5E57ED118-1430816918-1.0-m-04-hu.wav,orig
-318.2064,73.12774,141.60182,33.493145,-71.07362,38.17035,-22.510801,14.077948,-3.636149,10.561456,-41.324524,15.709925,-1.7835982,11.899915,7.515475,9.259242,-12.691423,7.1832776,1.7562937,9.916013,-8.979117,8.112315,-20.294123,8.573044,-4.2902913,8.231164,0.4511801,14.970971,0.23394899,7.090224,-0.18736984,7.366323,-0.08341455,2.6834712,-0.028330538,2.0113652,-0.048215494,3.3722048,0.053349406,1.8053396,0.04858571,1.633341,0.007385817,1.175537,0.054316737,1.9813554,0.03760377,1.6416311,-0.017224617,1.700207,-0.008057916,1.7475116,-0.17230181,8.894802,-0.08368819,4.4066925,0.07405931,4.1087627,-0.0075605344,1.7522411,-0.022297936,1.1710025,0.07027153,2.4180381,0.02904915,1.021471,-0.0245477,1.0078497,0.013286155,0.715539,0.0058091013,1.0483717,-0.012382353,0.9857229,-0.0035770666,0.93270075,-0.026313687,1.0817019,0.30925786,0.30497542,0.28580695,0.31851742,0.19915603,0.24800608,0.16385844,0.20949934,0.22733851,0.26111087,0.31957352,0.3239524,0.37440786,0.33467567,0.4181095,0.35100845,0.4157279,0.36051366,0.3658717,0.3483515,0.33962375,0.35543054,0.30807868,0.32459137,13.842493611592436,4.5005712123554025,15.671346897699177,6.5443793621640225,20.51369260507322,7.052603453612965,20.901473298895393,5.817398683896107,18.277868096062495,3.436290929853026,40.628238824809614,5.947352591062337,13.367864321216901,1.3093346499926264,0.071641125,0.065833405,0.09088336868791391,0.02390987107726735,442.08482063880416,150.78441158375156,394.2662424412591,63.10269610939997,hungry,F4A0C710-AC2D-42E0-8EA9-3E4CAC31EE20-1430318400-1.0-m-04-hu.wav,orig
-409.23877,97.423325,119.501205,43.848377,-57.310253,58.87008,-24.993622,20.280083,4.4512177,15.097269,-25.12003,20.042768,-2.3780787,13.549738,9.0057745,9.554868,-13.90608,14.88974,-3.747258,8.878224,5.1450863,7.021119,-6.29366,10.958053,-2.0695646,7.9526296,0.3189332,11.833016,0.25604895,6.4491715,0.0030868608,6.3291073,-0.0049399547,3.6637726,0.01487617,2.4797444,-0.027609726,3.247113,0.0090983305,2.4810455,0.044695593,1.7806691,-0.00011205673,1.794082,-0.004160502,1.4568397,0.02777195,1.2774704,0.007588117,1.3863101,-0.004837696,1.3717593,0.029630164,4.692301,0.0032088365,2.9863994,-0.023349429,2.5100043,0.012951861,1.7151296,0.017579509,1.2765672,-0.0052502514,1.3786032,0.009701631,1.2656862,0.01082396,0.9346367,-0.022219483,0.8483267,-0.01698778,0.88933897,0.0110393725,0.73945904,0.0029765498,0.92867017,-0.0053679887,0.9248408,0.35145485,0.33974513,0.42148027,0.3670312,0.38856792,0.37417138,0.3181623,0.34061489,0.37252232,0.36274797,0.47407204,0.3845168,0.4250359,0.35198745,0.32251728,0.33578157,0.22936322,0.30447188,0.18352692,0.26149532,0.19380572,0.2494501,0.23729421,0.27175027,15.574428658542116,4.167513508992993,16.57242207868366,6.94719823670081,21.02293823118018,7.268705103925232,20.810110551403284,6.311027189448813,20.05952492881273,5.836401993547107,34.54674341868543,8.101338348421343,13.646526864905233,0.9828981480181851,0.041342117,0.044859216,0.08877856110873288,0.02693230084307557,413.07886714338457,107.91036483300148,376.46181130034495,47.53316860295274,hungry,4be720ce-a5e5-4a48-930f-a212f8a239f6-1434774947458-1.7-f-48-hu.wav,orig
-439.92896,79.464615,49.43619,48.944065,-6.5525856,28.810013,-2.1322775,16.830715,0.23085557,10.603744,-6.769494,16.628742,7.74502,8.3310795,10.020177,8.915584,-4.7788715,11.161918,-4.923292,6.231794,-2.099275,4.476745,-5.112338,6.9152775,-1.4659152,5.1392655,0.1583051,10.178598,0.114748135,5.9886594,0.015424771,4.701148,0.050493553,2.5945945,0.013331125,1.5816796,-0.046471447,2.216399,-0.00039231736,1.5092777,0.01933608,1.4794741,-0.023100302,1.59636,-0.032481514,1.1416512,-0.02240704,0.85320544,-0.007162794,1.0777494,0.011060514,0.91124046,-0.05300159,4.5815244,-0.02262168,2.9961617,0.030599827,2.673804,0.0028838287,1.6300832,-0.00732108,1.240127,0.027167015,1.1585497,0.01613454,0.97024727,-0.017132957,0.8931262,-0.0034046045,0.8244087,0.008553379,0.7226186,-0.007856183,0.5938229,0.0011270276,0.6815923,0.019072685,0.6174956,0.57930297,0.2768967,0.6192379,0.27561125,0.57783455,0.30049103,0.49793488,0.28467187,0.49531513,0.27865237,0.54635936,0.28818396,0.57302797,0.28734612,0.53337353,0.28693226,0.5107705,0.3089266,0.54171467,0.31892985,0.5470406,0.30580854,0.56631935,0.28888106,18.74224349807467,3.8393067843632878,12.365156632548814,5.227692533995721,14.049182274303872,5.315633868254586,15.490113543350597,4.768488089204535,15.253002880960285,3.3958676587882044,32.21548460639473,5.234287267872066,13.742114214116006,1.6669471701548724,0.021430979,0.062048517,0.11210669029209622,0.03470655355721164,232.8877894830361,137.878728808139,326.8179615162221,274.64751593798417,hungry,8b1faa77-e3ac-48af-bf2a-58aadebefcba-1436798541805-1.7-m-04-hu.wav,orig
-343.41046,93.36662,138.94798,44.01125,-51.98273,37.640556,11.3526,13.359685,1.6203462,7.9120145,-56.28537,28.319405,-6.0822244,15.122361,-0.4064711,9.612732,-25.21023,13.708463,6.384126,14.249117,2.152174,8.624269,-15.743122,7.3022075,0.04045206,9.759077,-0.28846306,9.241222,-0.13787788,4.578341,0.12939991,3.947272,0.009173899,1.7710718,0.0036314623,1.207397,0.16947004,2.70905,0.08176255,1.5273609,-0.10545521,1.230046,-0.07378763,1.7407385,0.020034183,1.4436681,-0.0026856416,1.1657436,-0.053631265,1.010779,-0.03936147,1.0485294,0.0528648,5.609096,0.047657475,2.8041427,0.008199439,2.373053,-0.02078731,0.9090635,-0.04379193,0.80425,-0.022074284,1.4790052,0.01036706,0.81692594,-0.0026619479,0.6693238,-0.008238044,0.8493821,0.008301827,0.8505821,0.0031007205,0.634146,0.009225547,0.5259175,0.033846296,0.5796994,0.1972403,0.21047568,0.26630846,0.26096857,0.43234304,0.3431658,0.56479716,0.3613184,0.5267806,0.33464274,0.40689287,0.31905884,0.36694533,0.2943633,0.37544042,0.3204358,0.28452623,0.2282751,0.27353597,0.27016205,0.2636448,0.29223368,0.22316436,0.24356316,16.91454211155408,5.610695651818996,16.38730729547781,5.537152916882546,18.376365307950696,6.117761991626977,17.052583810557188,3.536985482486469,17.45145524748787,2.9066404242204187,41.699464732850984,8.526039397105665,13.52699075931255,0.8763574727240552,0.03862836,0.036487218,0.08935223509933775,0.039496450406879,364.01744907440695,166.72131296517168,318.3992322368831,254.32007322429652,hungry,5C2F730C-9721-40B7-A2D8-C257DB518978-1429966336-1.0-m-04-hu.wav,orig
-514.98364,95.29638,46.547825,43.40466,-8.122853,49.396255,7.013597,15.676448,9.978799,8.792531,-2.4372592,15.932323,3.590635,15.590299,-0.2485898,9.3206625,-8.569246,13.479848,-4.5832257,8.224369,-3.9011054,5.0907273,-3.968116,6.0375695,-0.55510837,6.0669694,-0.5642735,15.574351,-0.37306282,6.854693,0.21146955,8.339271,0.2229897,2.9268837,0.065982535,1.5330845,0.1286532,2.618462,0.13592485,2.1837366,0.027045595,1.5411233,0.023965174,2.1888227,0.038741846,1.3533463,-0.0413744,0.93354744,-0.065687776,1.0972065,-0.0013872819,1.0799713,-0.20255093,5.7197995,-0.14475338,2.5043752,0.045396164,3.4240403,0.034870543,1.5451831,-0.030182175,0.92626303,-0.003337435,1.1954774,0.018909022,0.9763037,-3.4897825e-05,0.79439783,0.011012808,0.8233974,0.023832114,0.7146048,-0.00055848464,0.72148395,-0.005961953,0.6731269,0.019115822,0.74265236,0.59333885,0.31338513,0.50791085,0.26989526,0.49273485,0.27992272,0.499171,0.25494024,0.56602913,0.2760965,0.57648164,0.27158812,0.5268969,0.27361578,0.500734,0.2691926,0.54617834,0.28273496,0.51912534,0.25883654,0.60711956,0.31678498,0.62751096,0.3297145,18.859351586480617,4.023081432133,11.846038312389098,4.103505378895331,14.620915810719865,3.7223662554610746,14.82236069738264,3.628308656381818,14.993145375509954,3.1412162446240166,25.91882849268973,8.282672053918978,13.545395261308926,0.9664811647438792,0.010823959,0.036467075,0.09061970082364341,0.03501872352916601,947.818492830384,627.6869310523377,376.46181130034495,1254.1377344300527,hungry,aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436910225455.wav,orig
-288.26657,35.630184,163.03542,13.504897,-132.35933,21.614634,8.892261,16.182652,36.52211,13.939231,-54.94803,9.798195,13.071843,8.45413,24.091314,7.4075007,-32.38021,9.97857,2.3961337,5.79693,10.847996,6.587466,-12.933304,8.967288,5.756396,16.027777,0.11134217,5.6598377,0.09199124,2.434224,-0.08867952,3.3713322,-0.013653521,2.540617,0.08075766,2.1265583,-0.03705511,1.7863451,0.024260025,1.2605968,0.032621585,1.5398262,-0.050132927,1.4069192,-0.015155759,0.94686157,0.022792816,1.1047447,0.0025159917,1.3395512,-0.00046137627,1.7684983,0.08497425,2.7505565,-0.08826948,1.6020225,-0.010572513,1.595692,0.054499872,1.1840396,-0.070044115,0.92255056,0.023460405,1.0404584,-0.005371572,0.64828783,-0.013623555,0.82314223,0.04121841,0.64900756,0.015600659,0.53386945,-0.0122371055,0.668011,-0.009233688,0.7412986,-0.025394518,0.8187956,0.19712788,0.29485074,0.18950467,0.2491963,0.33543706,0.37179047,0.35757664,0.3337524,0.39478403,0.39000568,0.39683363,0.35765868,0.38368866,0.34242132,0.16981441,0.22738062,0.13002516,0.20610437,0.13578992,0.20508668,0.10561457,0.18804862,0.19132473,0.2818201,11.930408164047885,4.569007782722117,10.608181711076744,3.2038036302610697,21.08985211699133,4.3832735443521385,23.33865841317584,4.476978004776489,24.643868294298148,3.8690041924186804,46.44644107804879,5.491655349470371,13.337416244739677,1.3762562624885424,0.11315377,0.06206138,0.19476601303807947,0.04334738214734931,521.7688607048406,88.38965313875853,514.2619893669481,87.49953334070148,hungry,AA2CA7F6-4547-4CC0-AA4C-5D7B64727FB5-1437123487-1.1-f-26-hu.wav,orig
-343.05112,97.956856,106.805725,40.4157,-68.52338,49.20586,-5.4663954,15.567246,0.14490262,15.980614,-39.866688,23.152346,12.994792,12.874817,16.847614,14.864822,-21.549976,11.131085,-9.05726,12.63672,-12.289314,7.75164,-15.933807,8.573681,9.972201,19.784563,0.08723717,18.596718,0.04594967,8.274021,-0.12884757,8.746627,-0.2006971,2.7252874,-0.08420358,2.533712,0.036141515,4.0158434,0.06544686,2.3549726,0.03567592,2.5831845,-0.023905773,2.039717,-0.03287508,2.16414,-0.033168174,1.2647883,-0.067091,1.5300704,0.0012326399,2.9851224,-0.40612322,9.790369,-0.19815615,4.619229,0.13403049,4.371814,-0.04732466,1.5452194,-0.046968244,1.4851995,0.08918708,2.1717877,0.013323571,1.3744459,-0.005752341,1.4283619,0.035834152,1.1913471,0.0011872108,1.1449542,0.013932167,0.8194696,0.022481836,0.9406733,0.0043348256,1.6108066,0.5714259,0.33529964,0.50394416,0.33239824,0.37925425,0.3098601,0.2745444,0.276908,0.23771054,0.2543338,0.27447104,0.24810831,0.31110233,0.28467,0.29499987,0.2849099,0.3210938,0.2822802,0.3500265,0.32214254,0.34288386,0.2832203,0.46581593,0.30338854,15.179893404657932,5.130865618730945,12.117926164959217,3.4375141418333612,16.844284480787348,4.848027444583383,19.525674899152236,4.679864008813774,17.458261850979337,3.101263842524128,41.87708235125871,8.749222462868543,13.241557791542888,1.54977659853864,0.04876121,0.07565199,0.13662174048013245,0.04311846881501998,698.911569067376,310.5896783628451,551.1723529946163,600.1072951754729,hungry,AE02C934-F4E5-4C73-818D-56AA6887EC18-1430279441-1.0-m-26-hu.wav,orig
-287.56122,47.16202,154.09677,10.332537,-70.77543,39.81819,8.819706,12.808661,26.064207,16.450802,-37.18133,10.189927,-4.223679,11.142795,2.4496763,10.39145,-14.978816,7.9552126,7.4551525,10.65631,-7.5485873,8.473431,-18.699894,9.630551,3.6664166,12.72638,0.41628018,5.5761414,0.025242737,1.8971406,-0.27852848,4.0480537,0.12641238,1.5230905,0.096883,1.6505738,-0.04692927,1.3776946,0.108468845,1.2035217,0.062238477,1.2542422,-0.068026915,0.915651,-0.005006512,1.3085984,-0.017877737,1.363308,0.0011121304,1.3300177,0.12698613,1.6456473,0.053109843,2.7845383,-0.008131804,1.1099519,-0.019003376,2.0581012,-0.008552783,0.7932659,-0.011477551,0.94149816,0.011914603,0.688828,-0.031124482,0.61453635,-0.021071482,0.63084805,0.033922903,0.61556274,0.024405288,0.73503333,0.009372839,0.76736826,0.009531375,0.7956603,-0.00021130084,0.8435574,0.28482598,0.3044186,0.29109067,0.3248225,0.32135382,0.36325896,0.30235484,0.3456554,0.31181663,0.36492586,0.2657276,0.31176296,0.29178876,0.32870927,0.2722761,0.3064406,0.3148911,0.3359223,0.3480667,0.32107097,0.34785062,0.33847132,0.31148323,0.3328199,19.311941391838833,6.6240632619653725,10.699045488080372,2.9664776335192578,16.604652649664118,4.278194770588694,21.080396807247755,5.658254227996062,22.007300991778727,5.862202990326214,44.101504600918794,6.677319494829838,13.344894813297872,1.468310544535561,0.07749954,0.071882,0.12293046357615894,0.05409883042257209,573.7555296376386,167.5036029690755,505.42727619869544,200.81842578327826,hungry,F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012044-1.1-m-26-hu.wav,orig
